id , title                               , description                                                                                           , price , category      , brand     , rating, msrp  , discount_pct, stock, availability, payment_methods      , installment_available, max_installments, shipping_days, budget_band, tags
103, Ergonomic Tennis Racket             , This ergonomic tennis racket by StyleCo is a top-tier choice in our sports section.                   , 201.25, Sports        , StyleCo   ,    4.4, 223.61,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , sports;midrange
104, Premium Wireless Headphones         , This premium wireless headphones by Vanguard is a top-tier choice in our electronics section.         , 315.95, Electronics   , Vanguard  ,    4.8, 351.06,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , electronics;premium
105, Lightweight Perfume                 , This lightweight perfume by GlowUp is a top-tier choice in our beauty section.                        , 148.88, Beauty        , GlowUp    ,    3.9, 165.42,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , beauty;midrange
106, High-Performance Toaster            , This high-performance toaster by HomeEase is a top-tier choice in our home & kitchen section.         , 278.40, Home & Kitchen, HomeEase  ,    4.2, 309.33,         10.0,   100, in_stock    , card;paypal;apple_pay, True                 ,               12,             5, midrange   , home & kitchen;midrange
107, Durable Backpack                    , This durable backpack by ActiveGear is a top-tier choice in our fashion section.                      , 442.20, Fashion       , ActiveGear,    4.1, 491.33,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , fashion;premium
108, Portable Face Cream                 , This portable face cream by Apex is a top-tier choice in our beauty section.                          ,  66.60, Beauty        , Apex      ,    3.7,  74.00,         10.0,   150, in_stock    , card;paypal;apple_pay, False                ,                0,             6, budget     , beauty;budget
109, Waterproof E-reader                 , This waterproof e-reader by BookWorm is a top-tier choice in our electronics section.                 , 124.50, Electronics   , BookWorm  ,    4.2, 138.33,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , electronics;midrange
110, Stylish Sunglasses                  , This stylish sunglasses by Zenith is a top-tier choice in our fashion section.                        , 189.99, Fashion       , Zenith    ,    4.3, 211.10,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , fashion;midrange
111, Ergonomic Air Fryer                 , This ergonomic air fryer by ActiveGear is a top-tier choice in our home & kitchen section.            , 312.45, Home & Kitchen, ActiveGear,    4.0, 347.17,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , home & kitchen;premium
112, Durable Tennis Racket               , This durable tennis racket by Apex is a top-tier choice in our sports section.                        , 227.10, Sports        , Apex      ,    3.6, 252.33,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , sports;midrange
113, Lightweight Hardcover Novel         , This lightweight hardcover novel by GlowUp is a top-tier choice in our books section.                 ,  95.50, Books         , GlowUp    ,    3.5, 106.11,         10.0,   150, in_stock    , card;paypal;apple_pay, False                ,                0,             6, budget     , books;budget
114, Portable Shampoo                    , This portable shampoo by HomeEase is a top-tier choice in our beauty section.                         , 152.75, Beauty        , HomeEase  ,    4.6, 169.72,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , beauty;midrange
115, High-Performance Blender            , This high-performance blender by Zenith is a top-tier choice in our home & kitchen section.           , 265.80, Home & Kitchen, Zenith    ,    4.4, 295.33,         10.0,   100, in_stock    , card;paypal;apple_pay, True                 ,               12,             5, midrange   , home & kitchen;midrange
116, Premium Jacket                      , This premium jacket by Vanguard is a top-tier choice in our fashion section.                          , 399.90, Fashion       , Vanguard  ,    4.7, 444.33,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , fashion;premium
117, Portable Coffee Maker               , This portable coffee maker by TechNova is a top-tier choice in our home & kitchen section.            , 278.05, Home & Kitchen, TechNova  ,    3.8, 308.94,         10.0,   100, in_stock    , card;paypal;apple_pay, True                 ,               12,             5, midrange   , home & kitchen;midrange
118, Stylish Wireless Headphones         , This stylish wireless headphones by Apex is a top-tier choice in our electronics section.             , 187.30, Electronics   , Apex      ,    4.1, 208.11,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , electronics;midrange
119, Waterproof Toaster                  , This waterproof toaster by HomeEase is a top-tier choice in our home & kitchen section.               ,  74.80, Home & Kitchen, HomeEase  ,    3.8,  83.11,         10.0,   150, in_stock    , card;paypal;apple_pay, False                ,                0,             6, budget     , home & kitchen;budget
120, Stylish Digital Camera              , This stylish digital camera by GlowUp is a top-tier choice in our electronics section.                ,  36.31, Electronics   , GlowUp    ,    4.8,  40.34,         10.0,   150, in_stock    , card;paypal;apple_pay, False                ,                0,             6, budget     , electronics;budget
121, High-Performance Wireless Headphones, This high-performance wireless headphones by Zenith is a top-tier choice in our electronics section.  , 307.82, Electronics   , Zenith    ,    4.5, 342.02,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , electronics;premium
122, High-Performance E-reader           , This high-performance e-reader by StyleCo is a top-tier choice in our electronics section.            , 471.77, Electronics   , StyleCo   ,    3.9, 524.19,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , electronics;premium
123, Durable Water Bottle                , This durable water bottle by Vanguard is a top-tier choice in our sports section.                     , 150.94, Sports        , Vanguard  ,    4.5, 167.71,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , sports;midrange
124, Waterproof Dumbbells                , This waterproof dumbbells by Zenith is a top-tier choice in our sports section.                       , 394.36, Sports        , Zenith    ,    3.9, 438.18,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , sports;premium
125, Lightweight Coffee Maker            , This lightweight coffee maker by BookWorm is a top-tier choice in our home & kitchen section.         , 255.13, Home & Kitchen, BookWorm  ,    3.5, 283.48,         10.0,   100, in_stock    , card;paypal;apple_pay, True                 ,               12,             5, midrange   , home & kitchen;midrange
126, Lightweight Lipstick                , This lightweight lipstick by BookWorm is a top-tier choice in our beauty section.                     , 300.54, Beauty        , BookWorm  ,    4.6, 333.93,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , beauty;premium
127, Durable Yoga Mat                    , This durable yoga mat by BookWorm is a top-tier choice in our sports section.                         , 171.20, Sports        , BookWorm  ,    3.0, 190.22,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , sports;midrange
128, Lightweight Knife Set               , This lightweight knife set by TechNova is a top-tier choice in our home & kitchen section.            , 248.19, Home & Kitchen, TechNova  ,    3.8, 275.77,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , home & kitchen;midrange
129, Durable Tennis Racket               , This durable tennis racket by StyleCo is a top-tier choice in our sports section.                     , 165.32, Sports        , StyleCo   ,    3.6, 183.69,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , sports;midrange
130, High-Performance Smart Watch        , This high-performance smart watch by TechNova is a top-tier choice in our electronics section.        , 286.85, Electronics   , TechNova  ,    3.1, 318.72,         10.0,   100, in_stock    , card;paypal;apple_pay, True                 ,               12,             5, midrange   , electronics;midrange
131, Portable Smart Watch                , This portable smart watch by ActiveGear is a top-tier choice in our electronics section.              , 236.45, Electronics   , ActiveGear,    3.7, 262.72,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , electronics;midrange
132, High-Performance Knife Set          , This high-performance knife set by Zenith is a top-tier choice in our home & kitchen section.         , 413.96, Home & Kitchen, Zenith    ,    4.1, 459.96,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , home & kitchen;premium
133, Portable History Text               , This portable history text by GlowUp is a top-tier choice in our books section.                       , 310.61, Books         , GlowUp    ,    4.1, 345.12,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , books;premium
134, Lightweight Water Bottle            , This lightweight water bottle by GlowUp is a top-tier choice in our sports section.                   , 204.27, Sports        , GlowUp    ,    4.0, 226.97,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , sports;midrange
135, Premium Blender                     , This premium blender by StyleCo is a top-tier choice in our home & kitchen section.                   , 396.01, Home & Kitchen, StyleCo   ,    4.3, 440.01,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , home & kitchen;premium
136, Durable Coffee Maker                , This durable coffee maker by BookWorm is a top-tier choice in our home & kitchen section.             , 336.13, Home & Kitchen, BookWorm  ,    4.1, 373.48,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , home & kitchen;premium
137, Durable Sunglasses                  , This durable sunglasses by HomeEase is a top-tier choice in our fashion section.                      , 443.58, Fashion       , HomeEase  ,    3.0, 492.87,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , fashion;premium
138, Stylish Knife Set                   , This stylish knife set by Apex is a top-tier choice in our home & kitchen section.                    , 362.52, Home & Kitchen, Apex      ,    4.2, 402.80,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , home & kitchen;premium
139, Durable Running Shoes               , This durable running shoes by BookWorm is a top-tier choice in our fashion section.                   , 470.70, Fashion       , BookWorm  ,    4.8, 523.00,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , fashion;premium
140, Durable Bluetooth Speaker           , This durable bluetooth speaker by Zenith is a top-tier choice in our electronics section.             , 428.23, Electronics   , Zenith    ,    4.1, 475.81,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , electronics;premium
141, High-Performance E-reader           , This high-performance e-reader by ActiveGear is a top-tier choice in our electronics section.         , 137.08, Electronics   , ActiveGear,    4.0, 152.31,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , electronics;midrange
142, Stylish Knife Set                   , This stylish knife set by Apex is a top-tier choice in our home & kitchen section.                    , 401.78, Home & Kitchen, Apex      ,    4.2, 446.42,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , home & kitchen;premium
143, Ergonomic Water Bottle              , This ergonomic water bottle by Vanguard is a top-tier choice in our sports section.                   , 473.63, Sports        , Vanguard  ,    3.7, 526.26,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , sports;premium
144, Durable Toaster                     , This durable toaster by HomeEase is a top-tier choice in our home & kitchen section.                  , 351.24, Home & Kitchen, HomeEase  ,    3.8, 390.27,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , home & kitchen;premium
145, Premium Dumbbells                   , This premium dumbbells by StyleCo is a top-tier choice in our sports section.                         , 494.73, Sports        , StyleCo   ,    3.9, 549.70,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , sports;premium
146, Lightweight Leather Belt            , This lightweight leather belt by Apex is a top-tier choice in our fashion section.                    , 228.41, Fashion       , Apex      ,    3.8, 253.79,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , fashion;midrange
147, Waterproof History Text             , This waterproof history text by BookWorm is a top-tier choice in our books section.                   , 395.81, Books         , BookWorm  ,    3.1, 439.79,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , books;premium
148, Portable Bluetooth Speaker          , This portable bluetooth speaker by GlowUp is a top-tier choice in our electronics section.            ,  52.13, Electronics   , GlowUp    ,    3.5,  57.92,         10.0,   150, in_stock    , card;paypal;apple_pay, False                ,                0,             6, budget     , electronics;budget
149, Premium Lipstick                    , This premium lipstick by Vanguard is a top-tier choice in our beauty section.                         , 221.48, Beauty        , Vanguard  ,    4.6, 246.09,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , beauty;midrange
150, Stylish Air Fryer                   , This stylish air fryer by BookWorm is a top-tier choice in our home & kitchen section.                , 447.59, Home & Kitchen, BookWorm  ,    4.9, 497.32,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , home & kitchen;premium
151, Portable Wireless Headphones        , This portable wireless headphones by GlowUp is a top-tier choice in our electronics section.          , 331.40, Electronics   , GlowUp    ,    5.0, 368.22,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , electronics;premium
152, High-Performance Dumbbells          , This high-performance dumbbells by HomeEase is a top-tier choice in our sports section.               , 460.20, Sports        , HomeEase  ,    3.8, 511.33,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , sports;premium
153, Durable Leather Belt                , This durable leather belt by TechNova is a top-tier choice in our fashion section.                    , 147.80, Fashion       , TechNova  ,    5.0, 164.22,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , fashion;midrange
154, High-Performance Backpack           , This high-performance backpack by Apex is a top-tier choice in our fashion section.                   ,  54.89, Fashion       , Apex      ,    3.1,  60.99,         10.0,   150, in_stock    , card;paypal;apple_pay, False                ,                0,             6, budget     , fashion;budget
155, Stylish Perfume                     , This stylish perfume by Apex is a top-tier choice in our beauty section.                              ,  88.68, Beauty        , Apex      ,    4.9,  98.53,         10.0,   150, in_stock    , card;paypal;apple_pay, False                ,                0,             6, budget     , beauty;budget
156, Portable Water Bottle               , This portable water bottle by Vanguard is a top-tier choice in our sports section.                    , 323.81, Sports        , Vanguard  ,    3.2, 359.79,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , sports;premium
157, Lightweight Face Cream              , This lightweight face cream by Vanguard is a top-tier choice in our beauty section.                   , 240.76, Beauty        , Vanguard  ,    4.8, 267.51,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , beauty;midrange
158, High-Performance Leather Belt       , This high-performance leather belt by StyleCo is a top-tier choice in our fashion section.            , 439.00, Fashion       , StyleCo   ,    4.5, 487.78,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , fashion;premium
159, Ergonomic Face Cream                , This ergonomic face cream by HomeEase is a top-tier choice in our beauty section.                     , 212.23, Beauty        , HomeEase  ,    3.3, 235.81,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , beauty;midrange
160, Portable Shampoo                    , This portable shampoo by StyleCo is a top-tier choice in our beauty section.                          ,  67.49, Beauty        , StyleCo   ,    4.5,  74.99,         10.0,   150, in_stock    , card;paypal;apple_pay, False                ,                0,             6, budget     , beauty;budget
161, High-Performance Leather Belt       , This high-performance leather belt by ActiveGear is a top-tier choice in our fashion section.         ,  25.91, Fashion       , ActiveGear,    3.9,  28.79,         10.0,   150, in_stock    , card;paypal;apple_pay, False                ,                0,             6, budget     , fashion;budget
162, Stylish Bluetooth Speaker           , This stylish bluetooth speaker by Zenith is a top-tier choice in our electronics section.             , 495.91, Electronics   , Zenith    ,    4.0, 551.01,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , electronics;premium
163, Durable Smart Watch                 , This durable smart watch by GlowUp is a top-tier choice in our electronics section.                   , 266.81, Electronics   , GlowUp    ,    4.1, 296.46,         10.0,   100, in_stock    , card;paypal;apple_pay, True                 ,               12,             5, midrange   , electronics;midrange
164, Ergonomic Jump Rope                 , This ergonomic jump rope by StyleCo is a top-tier choice in our sports section.                       , 191.86, Sports        , StyleCo   ,    3.3, 213.18,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , sports;midrange
165, Ergonomic Backpack                  , This ergonomic backpack by Apex is a top-tier choice in our fashion section.                          , 303.90, Fashion       , Apex      ,    3.3, 337.67,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , fashion;premium
166, Lightweight Knife Set               , This lightweight knife set by Apex is a top-tier choice in our home & kitchen section.                , 449.97, Home & Kitchen, Apex      ,    4.2, 499.97,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , home & kitchen;premium
167, Portable Wireless Headphones        , This portable wireless headphones by TechNova is a top-tier choice in our electronics section.        , 136.67, Electronics   , TechNova  ,    4.9, 151.86,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , electronics;midrange
168, Premium Bluetooth Speaker           , This premium bluetooth speaker by ActiveGear is a top-tier choice in our electronics section.         , 377.77, Electronics   , ActiveGear,    3.9, 419.74,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , electronics;premium
169, Lightweight Leather Belt            , This lightweight leather belt by ActiveGear is a top-tier choice in our fashion section.              , 178.42, Fashion       , ActiveGear,    3.0, 198.24,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , fashion;midrange
170, Ergonomic E-reader                  , This ergonomic e-reader by HomeEase is a top-tier choice in our electronics section.                  , 219.64, Electronics   , HomeEase  ,    3.9, 244.04,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , electronics;midrange
171, High-Performance Wireless Headphones, This high-performance wireless headphones by BookWorm is a top-tier choice in our electronics section., 460.06, Electronics   , BookWorm  ,    4.4, 511.18,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , electronics;premium
172, Premium Toaster                     , This premium toaster by ActiveGear is a top-tier choice in our home & kitchen section.                , 193.55, Home & Kitchen, ActiveGear,    3.3, 215.06,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , home & kitchen;midrange
173, High-Performance Knife Set          , This high-performance knife set by BookWorm is a top-tier choice in our home & kitchen section.       ,  98.85, Home & Kitchen, BookWorm  ,    3.8, 109.83,         10.0,   150, in_stock    , card;paypal;apple_pay, False                ,                0,             6, budget     , home & kitchen;budget
174, Ergonomic Self-Help Guide           , This ergonomic self-help guide by ActiveGear is a top-tier choice in our books section.               ,  47.18, Books         , ActiveGear,    4.1,  52.42,         10.0,   150, in_stock    , card;paypal;apple_pay, False                ,                0,             6, budget     , books;budget
175, Premium Backpack                    , This premium backpack by GlowUp is a top-tier choice in our fashion section.                          , 444.71, Fashion       , GlowUp    ,    4.9, 494.12,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , fashion;premium
176, Portable Jump Rope                  , This portable jump rope by TechNova is a top-tier choice in our sports section.                       , 164.06, Sports        , TechNova  ,    3.5, 182.29,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , sports;midrange
177, Stylish Yoga Mat                    , This stylish yoga mat by Vanguard is a top-tier choice in our sports section.                         ,  98.32, Sports        , Vanguard  ,    3.9, 109.24,         10.0,   150, in_stock    , card;paypal;apple_pay, False                ,                0,             6, budget     , sports;budget
178, Premium Digital Camera              , This premium digital camera by Zenith is a top-tier choice in our electronics section.                , 144.40, Electronics   , Zenith    ,    3.6, 160.44,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , electronics;midrange
179, Durable Self-Help Guide             , This durable self-help guide by HomeEase is a top-tier choice in our books section.                   ,  24.45, Books         , HomeEase  ,    4.5,  27.17,         10.0,   150, in_stock    , card;paypal;apple_pay, False                ,                0,             6, budget     , books;budget
180, Lightweight Lipstick                , This lightweight lipstick by Vanguard is a top-tier choice in our beauty section.                     , 382.22, Beauty        , Vanguard  ,    4.5, 424.69,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , beauty;premium
181, Lightweight Face Cream              , This lightweight face cream by BookWorm is a top-tier choice in our beauty section.                   , 241.00, Beauty        , BookWorm  ,    4.8, 267.78,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , beauty;midrange
182, Ergonomic Wireless Headphones       , This ergonomic wireless headphones by ActiveGear is a top-tier choice in our electronics section.     , 122.60, Electronics   , ActiveGear,    4.9, 136.22,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , electronics;midrange
183, Stylish Running Shoes               , This stylish running shoes by BookWorm is a top-tier choice in our fashion section.                   , 363.73, Fashion       , BookWorm  ,    4.9, 404.14,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , fashion;premium
184, Premium Water Bottle                , This premium water bottle by BookWorm is a top-tier choice in our sports section.                     , 210.63, Sports        , BookWorm  ,    4.3, 234.03,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , sports;midrange
185, Ergonomic Toaster                   , This ergonomic toaster by Vanguard is a top-tier choice in our home & kitchen section.                , 244.31, Home & Kitchen, Vanguard  ,    4.7, 271.46,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , home & kitchen;midrange
186, Stylish Perfume                     , This stylish perfume by TechNova is a top-tier choice in our beauty section.                          , 310.91, Beauty        , TechNova  ,    4.7, 345.46,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , beauty;premium
187, Ergonomic Hair Dryer                , This ergonomic hair dryer by Apex is a top-tier choice in our beauty section.                         , 380.88, Beauty        , Apex      ,    4.8, 423.20,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , beauty;premium
188, Durable Hoodie                      , This durable hoodie by TechNova is a top-tier choice in our fashion section.                          , 357.09, Fashion       , TechNova  ,    3.5, 396.77,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , fashion;premium
189, Ergonomic Knife Set                 , This ergonomic knife set by HomeEase is a top-tier choice in our home & kitchen section.              ,  86.80, Home & Kitchen, HomeEase  ,    4.6,  96.44,         10.0,   150, in_stock    , card;paypal;apple_pay, False                ,                0,             6, budget     , home & kitchen;budget
190, Lightweight Coffee Maker            , This lightweight coffee maker by TechNova is a top-tier choice in our home & kitchen section.         , 295.74, Home & Kitchen, TechNova  ,    3.5, 328.60,         10.0,   100, in_stock    , card;paypal;apple_pay, True                 ,               12,             5, midrange   , home & kitchen;midrange
191, Durable Leather Belt                , This durable leather belt by BookWorm is a top-tier choice in our fashion section.                    , 385.58, Fashion       , BookWorm  ,    3.8, 428.42,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , fashion;premium
192, Durable Knife Set                   , This durable knife set by Zenith is a top-tier choice in our home & kitchen section.                  , 347.19, Home & Kitchen, Zenith    ,    4.9, 385.77,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , home & kitchen;premium
193, Ergonomic Cookbook                  , This ergonomic cookbook by BookWorm is a top-tier choice in our books section.                        , 348.03, Books         , BookWorm  ,    3.9, 386.70,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , books;premium
194, Portable Face Cream                 , This portable face cream by Zenith is a top-tier choice in our beauty section.                        , 181.56, Beauty        , Zenith    ,    3.4, 201.73,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , beauty;midrange
195, Stylish Air Fryer                   , This stylish air fryer by Vanguard is a top-tier choice in our home & kitchen section.                , 465.31, Home & Kitchen, Vanguard  ,    3.9, 517.01,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , home & kitchen;premium
196, Premium Blender                     , This premium blender by StyleCo is a top-tier choice in our home & kitchen section.                   , 122.35, Home & Kitchen, StyleCo   ,    3.3, 135.94,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , home & kitchen;midrange
197, Premium Backpack                    , This premium backpack by Vanguard is a top-tier choice in our fashion section.                        ,  64.67, Fashion       , Vanguard  ,    4.6,  71.86,         10.0,   150, in_stock    , card;paypal;apple_pay, False                ,                0,             6, budget     , fashion;budget
198, High-Performance Leather Belt       , This high-performance leather belt by ActiveGear is a top-tier choice in our fashion section.         , 245.31, Fashion       , ActiveGear,    3.1, 272.57,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , fashion;midrange
199, High-Performance Jump Rope          , This high-performance jump rope by GlowUp is a top-tier choice in our sports section.                 , 133.87, Sports        , GlowUp    ,    3.8, 148.74,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , sports;midrange
200, Lightweight Tennis Racket           , This lightweight tennis racket by ActiveGear is a top-tier choice in our sports section.              ,  49.06, Sports        , ActiveGear,    4.6,  54.51,         10.0,   150, in_stock    , card;paypal;apple_pay, False                ,                0,             6, budget     , sports;budget
201, Stylish Hair Dryer                  , This stylish hair dryer by Vanguard is a top-tier choice in our beauty section.                       , 323.92, Beauty        , Vanguard  ,    4.6, 359.91,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , beauty;premium
202, Waterproof Knife Set                , This waterproof knife set by HomeEase is a top-tier choice in our home & kitchen section.             , 344.05, Home & Kitchen, HomeEase  ,    4.0, 382.28,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , home & kitchen;premium
203, Ergonomic Cookbook                  , This ergonomic cookbook by BookWorm is a top-tier choice in our books section.                        , 177.19, Books         , BookWorm  ,    3.0, 196.88,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , books;midrange
204, Waterproof Digital Camera           , This waterproof digital camera by TechNova is a top-tier choice in our electronics section.           , 382.70, Electronics   , TechNova  ,    3.4, 425.22,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , electronics;premium
205, Ergonomic Cookbook                  , This ergonomic cookbook by TechNova is a top-tier choice in our books section.                        , 221.18, Books         , TechNova  ,    3.4, 245.76,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , books;midrange
206, Portable Perfume                    , This portable perfume by BookWorm is a top-tier choice in our beauty section.                         , 380.49, Beauty        , BookWorm  ,    4.2, 422.77,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , beauty;premium
207, Portable Smart Watch                , This portable smart watch by Zenith is a top-tier choice in our electronics section.                  , 353.19, Electronics   , Zenith    ,    4.5, 392.43,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , electronics;premium
208, Durable Hair Dryer                  , This durable hair dryer by Apex is a top-tier choice in our beauty section.                           , 346.97, Beauty        , Apex      ,    4.0, 385.52,         10.0,    45, in_stock    , card;paypal;apple_pay, True                 ,               12,             4, premium    , beauty;premium
209, Lightweight Toaster                 , This lightweight toaster by Apex is a top-tier choice in our home & kitchen section.                  , 139.78, Home & Kitchen, Apex      ,    4.7, 155.31,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , home & kitchen;midrange
210, High-Performance Coffee Maker       , This high-performance coffee maker by HomeEase is a top-tier choice in our home & kitchen section.    , 243.29, Home & Kitchen, HomeEase  ,    4.3, 270.32,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , home & kitchen;midrange
211, Waterproof E-reader                 , This waterproof e-reader by GlowUp is a top-tier choice in our electronics section.                   , 278.20, Electronics   , GlowUp    ,    3.1, 309.11,         10.0,   100, in_stock    , card;paypal;apple_pay, True                 ,               12,             5, midrange   , electronics;midrange
212, Portable Hardcover Novel            , This portable hardcover novel by TechNova is a top-tier choice in our books section.                  , 231.01, Books         , TechNova  ,    3.0, 256.68,         10.0,   100, in_stock    , card;paypal;apple_pay, False                ,                0,             5, midrange   , books;midrange
213, Lightweight Hoodie                  , This lightweight hoodie by Vanguard is a top-tier choice in our fashion section.                      ,  94.76, Fashion       , Vanguard  ,    4.1, 105.29,         10.0,   150, in_stock    , card;paypal;apple_pay, False                ,                0,             6, budget     , fashion;budget
214, Lightweight Water Bottle            , This lightweight water bottle by BookWorm is a top-tier choice in our sports section.                 ,  91.09, Sports        , BookWorm  ,    3.6, 101.21,         10.0,   150, in_stock    , card;paypal;apple_pay, False                ,                0,             6, budget     , sports;budget
